Network,Number Score,Subscribers,,,,
Hulu,0.86,45300000,,,,
Hulu,0.88,45300000,,,,
Netflix,0.57,221800000,,,,
Apple TV+,0.6,20000000,,,,
HBO Max,0.77,73800000,,,,
Hulu,0.56,45300000,,,,
Amazon Prime Video,0.8,175000000,,,,
Hulu,0.25,45300000,,,,
Apple TV+,0.9,20000000,,,,
HBO Max,0.93,73800000,,,,
Netflix,0.86,221800000,,,,
Disney+,0.91,129800000,,,,
Netflix,0.88,221800000,,,,
Netflix,0.67,221800000,,,,
Netflix,0.79,221800000,,,,
Netflix,0.64,221800000,,,,
Apple TV+,0.52,20000000,,,,
Hulu,0.37,45300000,,,,
Hulu,0.7,45300000,,,,
Disney+,0.86,129800000,,,,
HBO Max,1,73800000,,,,
Netflix,0.45,221800000,,,,
HBO Max,0.3,73800000,,,,
Amazon Prime Video,0.87,175000000,,,,
Netflix,0.96,221800000,,,,
Hulu,0.86,45300000,,,,
Netflix,0.72,221800000,,,,
Hulu,0.85,45300000,,,,
Hulu,0.82,45300000,,,,
Hulu,0.95,45300000,,,,
Netflix,0.98,221800000,,,,
HBO Max,0.98,73800000,,,,
HBO Max,0.9,73800000,,,,
HBO Max,0.89,73800000,,,,
HBO Max,0.23,73800000,,,,
Disney+,0.58,129800000,,,,
Apple TV+,0.86,20000000,,,,
Netflix,0.57,221800000,,,,
Netflix,0.96,221800000,,,,
Hulu,0.85,45300000,,,,
Disney+,0.81,129800000,,,,
HBO Max,0.89,73800000,,,,
Disney+,0.8,129800000,,,,
Hulu,0.4,45300000,,,,
Netflix,0.83,221800000,,,,
Hulu,0.83,45300000,,,,
Netflix,0.61,221800000,,,,
Disney+,0.56,129800000,,,,
Hulu,0.71,45300000,,,,
HBO Max,0.95,73800000,,,,
Hulu,0.88,45300000,,,,
Netflix,0.84,221800000,,,,
Netflix,0.95,221800000,,,,
Netflix,0.98,221800000,,,,
Amazon Prime Video,0.93,175000000,,,,
Disney+,0.88,129800000,,,,
Netflix,0.97,221800000,,,,
Hulu,0.82,45300000,,,,
Netflix,0.76,221800000,,,,
Hulu,0.87,45300000,,,,
Hulu,0.93,45300000,,,,
Apple TV+,0.85,20000000,,,,
Hulu,0.83,45300000,,,,
Hulu,0.79,45300000,,,,
Hulu,0.89,45300000,,,,
Amazon Prime Video,0.91,175000000,,,,
Apple TV+,0.76,20000000,,,,
Hulu,0.89,45300000,,,,
HBO Max,0.97,73800000,,,,
Amazon Prime Video,0.78,175000000,,,,
HBO Max,0.91,73800000,,,,
HBO Max,0.9,73800000,,,,
Netflix,0.92,221800000,,,,
Netflix,0.71,221800000,,,,
Netflix,0.88,221800000,,,,
Amazon Prime Video,0.9,175000000,,,,
Hulu,0.96,45300000,,,,
Hulu,0.85,45300000,,,,
HBO Max,0.92,73800000,,,,
Netflix,0.94,221800000,,,,
Amazon Prime Video,0.87,175000000,,,,
Hulu,0.85,45300000,,,,
Netflix,0.76,221800000,,,,
HBO Max,0.96,73800000,,,,
Apple TV+,0.82,20000000,,,,
Hulu,0.96,45300000,,,,
Apple TV+,0.89,20000000,,,,
