Service,Parent,Launch,Subscribers,Content,Areas_Served,Ref.
Netflix,"Netflix, Inc.",2007-01-16,221800000,"Netflix Originals, Studio Ghibli, Studio 100, WildBrain, Wow Unlimited Media, Mattel, Hasbro, Lionsgate, Bento Box Entertainment, MarVista Entertainment, Chicken Soup for the Soul Entertainment, ErosSTX, Skydance Media, Gaumont Film Company, Xilam, The Pokémon Company, licensed content from other vendors",Worldwide,[2][3]
Amazon Prime Video,"Amazon.com, Inc.",2006-09-07,175000000,"Amazon Originals, Amazon Studios, MGM, United Artists, Orion Pictures, Discovery, ITV, licensed content from other vendors",Worldwide,[4]
Disney+,The Walt Disney Company,2019-11-12,129800000,"Disney+ Originals, Walt Disney Pictures, Walt Disney Animation Studios, Disney Television Animation, Disney Channel, Disney Junior, Disney XD, Freeform (BVS Entertainment), Disneynature, Disneytoon Studios, Pixar, Marvel Studios, Lucasfilm, National Geographic, ABC, ABC Signature, 20th Television, 20th Television Animation, FX, Star, 20th Century Studios, Searchlight Pictures, Fox 2000 Pictures, Blue Sky Studios, Touchstone Pictures, Hollywood Pictures","North America, South America, Northern and Western Europe, Asia-Pacific",[6][7][8][9]
Tencent Video,Tencent,2011-06-01,123000000,"Tencent Video Originals, licensed content from other vendors","Bangladesh, China, Hong Kong, Indonesia, Macau, Malaysia, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam",[10][11]
iQIYI,"Baidu, Inc.",2010-04-22,103600000,"iQIYI Originals, licensed content from other vendors",Worldwide,[12]
Youku,Alibaba Group,2003-12-01,81100000,"Youku Originals, licensed content from other vendors",China,[13]
HBO Max,WarnerMedia (AT&T),2020-05-27,73800000,"WarnerMedia libraries, HBO, Max Originals, Cinemax, Warner Bros,, The CW, New Line Cinema, DC Entertainment, Turner Entertainment, Turner Sports, CNN, HLN, Sesame Workshop, Comedy Central, Studio Ghibli, Cartoon Network, Cartoonito, Boomerang, Adult Swim, TBS, TNT, TruTV","United States (w/ Puerto Rico), Latin America, Caribbean, Nordics, Spain and Andorra, Netherlands, Portugal, Central and Eastern Europe",[14][15]
YouTube Premium,Google (Alphabet),2015-10-31,50000000,"YouTube Originals, licensed content from other vendors",101 countries,[16][17]
Hulu,The Walt Disney CompanyNBCUniversal (Comcast),2007-10-29,45300000,"Hulu Originals, ABC, ABC Signature, 20th Television, 20th Television Animation, FX, FXX, FX on Hulu, Freeform, 20th Century Studios, Searchlight Pictures, Touchstone Pictures, Hollywood Pictures, ABC News, ESPN, licensed content from other vendors",United States,[18][19]
ALTBalaji,Balaji Telefilms,2017-04-16,34000000,ALTBalaji Originals,Worldwide,[20]
Paramount+,Paramount Global,2014-10-28,32799999,"Paramount+ Originals, CBS, CBS News, CBS Sports, NBC, ABC, Paramount Pictures, Miramax, Dimension Films, Melange Pictures, LLC,, CMT, MTV, VH1, Showtime, Nickelodeon, Nick Jr,, Comedy Central, BET, Smithsonian Channel, Paramount Media Networks","Australia, Canada, Central America, Dominican Republic, Hungary, Mexico, Northern Europe, Poland, Russia, South America, the United States as well as in and the Middle East as a pay-TV channel",[21][22]
iflix,Tencent,2014-05-27,25000000,"The Walt Disney Company, MGM, Paramount Pictures, Warner Bros, Fox, , Starz,","Bangladesh, Brunei, Cambodia, Indonesia, Malaysia, Maldives, Myanmar, Nepal, Pakistan, Philippines, Sri Lanka, Thailand, Vietnam",[29]
Peacock,Comcast,2020-07-15,24500000,"Peacock Originals, NBC, NBC News, NBC Sports, Universal Pictures, Focus Features, DreamWorks Animation, DreamWorks Classics, Illumination, Universal Animation Studios, EMKA, Ltd,, Telemundo, CNBC, MSNBC, Bravo, E!, Syfy, Oxygen, Universal Kids, WWE Network","United States, United Kingdom, Ireland, Austria, Germany, and Italy",[32][33]
